salesforce_account_id,account_name,active_workspace_count,q4_2025_dbus,q4_2025_dollars
0016100001H7ECMAA3,Asda,94,9209169.51,2244983.43
00161000005eOe5AAE,Adobe Systems,119,2762728.46,150232.35
0016100001DxTdMAAV,LV=,15,2653948.05,634890.01
0016100001BLrRbAAL,Centrica PLC,100,2475739.77,634077.55
0016100001QbAXzAAN,Network Rail,99,1366551.44,316088.39
0013f0000044JkNAAU,Standard Chartered Bank,23,1165243.61,146283.26
0014N00001ipDOEQA2,Rokos Capital Management,3,989656.77,382541.02
0016100001H6kCbAAJ,LSEG,23,954244.48,233580.58
0016100001N2QELAA3,Nationwide Building SOCIETY,23,892335.36,283952.83
0016100001D74UDAAZ,Currys plc,17,717906.83,266623.64
0016100001H6gJ8AAJ,Department for Environment  Food and Rural Affairs (DEFRA),39,699572.76,201868.01
0013f000008oW7pAAE,Canada Life UK,8,589393.65,157830.92
0016100001WQmJhAAL,KPMG UK,112,584582.12,155986.4
0016100001H6kAoAAJ,Glencore,9,525725.24,177344.41
0016100001H6KppAAF,NHS England,37,512197.84,190156.23
0018Y00002nIkyGQAS,NESO,21,499040.89,178323.05
0016100001OBoTIAA1,New Look,4,425364.41,211800.25
0016100001IwB2AAAV,Foreign  Commonwealth & Development Office (FCDO),5,424067.12,104895.43
0016100001dPkezAAC,Insight Enterprises (HQ),10,410406.86,103650.47
0018Y00002scnyoQAA,Generic Business Subscription,2819,383674.21,98976.96
0013f000008ouFMAAY,Ninety One Asset Management,9,379476.92,21975.44
0016100001dRGXdAAO,ClearBank,7,376281.66,101140.78
0018Y00002lraYXQAY,Elexon Limited,24,375892.64,89257.63
0014N00001tQ1ozQAC,Canopius,5,369839.82,113131.17
0016100001H6kv2AAB,Markerstudy Insurance,22,366011.12,115023.16
0013f0000044L0MAAU,Novuna,29,361815.07,62912.67
0018Y00002vQXgrQAG,First Central Insurance,32,356947.99,101320.46
0016100001SQUNAAA5,QBE Insurance Group,50,354073.03,115362.18
0016100000U5DldAAF,Estee Lauder,6,353870.7,107587.38
0016100001cf8yNAAQ,The Go-Ahead Group,4,351975.02,141367.4
0016100001D6uAZAAZ,SSE Services plc,29,339439.55,128231.64
0016100001Qb7xeAAB,Clydesdale Bank PLC  trading as Virgin Money,29,337371.67,118129.34
0018Y00002kw84WQAQ,PEI Media,4,310071.69,44942.97
0013f000005S8CnAAK,Royal London Group,50,285432.63,87043.29
0018Y00002qRcpHQAS,Inigo Insurance,9,270728.03,65457.42
0014N00002BCNMWQA5,Access Group,14,269791.36,63527.55
0016100001N4PCUAA3,National Highways,44,267386.41,52221.88
0016100001H7Z1pAAF,Lloyd's,24,261539.02,44323.95
0013f000004QNMiAAO,Correla (fka Xoserve),31,246891.56,77577.64
0014N00001neztoQAA,The White Company (U.K.) Limited,4,246751.11,58939.44
0016100001WmbKcAAJ,Halfords,5,244193.11,87000.06
0014N00001iH75bQAC,Lowell Financial Limited,15,239401.74,87007.16
0013f000008ocIRAAY,Ceres Power,5,236787.97,82554.68
0016100001WowE2AAJ,United Utilities Water Limited,4,235528.1,102733.81
0016100001OE1DiAAL,Nuvei,1,228630.81,67497.04
0016100001BMe0xAAD,EDF UK,20,226038.23,67259.3
0014N00001nflMCQAY,Chelsea FC Holdings Limited,5,224140.65,76109.82
0016100001WowGNAAZ,Skipton Building Society,41,212202.43,65441.7
0016100001BJQsFAAX,Jacobs Engineering,20,203769.88,86203.97
0016100001dR1j0AAC,City Football Group,32,198956.83,50687.15
0016100001H6kFSAAZ,Intact Insurance UK Limited,27,193320.82,74863.21
